Months,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
July,12437273.0,12145182.0,11179990.0,10486640.0,10476022.0,10247677.0,10279946.0,13215608.0,9585692.0,9797464.0,8936376.0,7779001.0,6175062.0,1854236.0,859516.0
August,13242617.0,12606894.0,12243677.0,12027565.0,11552906.0,10813196.0,10591154.0,10754839.0,11260433.0,11254368.0,9919253.0,8711267.0,6180277.0,2288103.0,919944.0
September,13686847.0,12466231.0,11434504.0,11120267.0,11262963.0,11213283.0,10834017.0,10524694.0,10387262.0,10584856.0,10120376.0,8863372.0,6130292.0,2870529.0,880392.0
October,8746942.4,12396118.0,11747001.0,11152201.0,10648259.0,10194178.0,9973165.0,10681218.0,10127131.0,9967371.0,6663381.0,7955637.0,6774967.0,2962273.0,1214293.0
November ,9051642.4,11670226.0,10986022.0,11042891.0,10489841.0,10614146.0,10101369.0,10153077.0,10249974.0,10180664.0,12205428.0,8372880.0,6627924.0,3010190.0,1018361.0
December,9115532.2,12113712.0,11200981.0,10865455.0,11293704.0,10564934.0,10520850.0,10213273.0,10131343.0,10532523.0,9932825.0,9038150.0,6161482.0,3916180.0,1132039.0
January,9686224.4,13244144.0,12110255.0,11042758.0,11576780.0,11404836.0,10103269.0,11336990.0,10886314.0,10849454.0,9764312.0,9780711.0,7464683.0,4956040.0,1086596.0
February,7607001.4,10158920.0,9194308.0,9829717.0,9489871.0,9091033.0,8173137.0,8251470.0,8491682.0,8085139.0,8245779.0,7510710.0,5586229.0,3257483.0,1132542.0
March,9042917.9,11692180.0,10699588.0,10846479.0,11062932.0,10180647.0,9789674.0,10183615.0,10607494.0,9436004.0,10262593.0,8817788.0,6799171.0,4870222.0,1352463.0
April,10269921.1,14520713.0,13416953.0,12350913.0,11669018.0,11430071.0,11431890.0,12018308.0,11026392.0,10756835.0,10965857.0,9419934.0,7663257.0,5731851.0,1376904.0
May ,9578723.5,12185662.0,12223523.0,11606404.0,11243274.0,10794987.0,9977696.0,10224170.0,10501768.0,10412925.0,10485943.0,9385154.0,7936929.0,5435427.0,1688267.0
June,9861865.4,13021638.0,12161616.0,11569139.0,11269672.0,11828897.0,10845463.0,10541208.0,10643994.0,10380125.0,10684740.0,10103624.0,8167602.0,5277513.0,1570884.0
